z,Time,ISM,Stars,H,He,C,N,O,Fe
0.0,0.0,1000000000000.0,356476440423.0755,760000000000.0,240000000000.0,0.0,0.0,0.0,0.0
0.012012012012012012,163311205.6303573,1277681680137.0466,75642969874.59157,210557547862.539,66491857219.749084,210758351.5855012,210758351.5855012,210758351.5855012,0.0
0.024024024024024024,321847326.4863908,1309183273706.1912,72617251079.60773,230907577308.2177,72918182307.85773,1785838030.0435417,1785838030.0435417,1785838030.0435417,0.0
0.036036036036036036,475801569.1486285,1337224464951.4524,69712561036.42317,249022186852.66656,78638585321.89383,3187897592.3073425,3187897592.3073425,3187897592.3073425,0.0
0.04804804804804805,625357204.1644762,1363117820271.5447,66949040492.55286,265749294389.4555,83920829807.19525,4482565358.312625,4482565358.312625,4482565358.312625,0.0
0.06006006006006006,770688183.519772,1387340636538.7278,64349855081.76463,281397233698.0645,88862284325.70303,5693706171.672322,5693706171.672322,5693706171.672322,0.0
0.07207207207207207,911959713.2678356,1410370210625.2615,61906982929.09436,296274338557.9736,93560317439.35822,6845184875.999522,6845184875.999522,6845184875.999522,0.0
0.08408408408408408,1049328785.0320913,1432445190967.2756,59609383359.00575,310534775858.92267,98063613429.13132,7948933893.100724,7948933893.100724,7948933893.100724,0.0
0.0960960960960961,1182944669.753151,1453804226000.9001,57449796984.5248,324332712490.6518,102420856575.99286,9016885644.782429,9016885644.782429,9016885644.782429,0.0
0.10810810810810811,1312949376.7414486,1474447315726.135,55421071122.95325,337668148453.16095,106632046879.94284,10049040131.044634,10049040131.044634,10049040131.044634,0.0
0.12012012012012012,1439478080.8183405,1494493784361.0452,53513897515.48827,350618167191.3201,110721526481.46652,11051363562.79059,11051363562.79059,11051363562.79059,0.0
0.13213213213213212,1562659520.0781538,1514062956123.6956,51721898258.92931,363259852149.9993,114713637521.04916,12029822150.923548,12029822150.923548,12029822150.923548,0.0
0.14414414414414414,1682616366.5784202,1533274155232.1511,50038861437.55646,375670286774.06854,118632722139.17603,12990382106.346756,12990382106.346756,12990382106.346756,0.0
0.15615615615615616,1799465572.0621758,1552008057468.347,48458768213.463455,387772387618.6578,122454438195.36185,13927077218.156965,13927077218.156965,13927077218.156965,0.0
0.16816816816816815,1913318690.6329212,1570383987050.348,46974240447.16144,399643238128.637,126203127830.09189,14845873697.257425,14845873697.257425,14845873697.257425,0.0
0.18018018018018017,2024282180.1369996,1588521268196.219,45579990958.2644,411359921748.8763,129903133183.85141,15752737754.551386,15752737754.551386,15752737754.551386,0.0
0.1921921921921922,2132457683.8583295,1606300576687.8953,44270931756.46486,422845355034.50555,133530112116.15515,16641703179.135597,16641703179.135597,16641703179.135597,0.0
0.2042042042042042,2237942293.994641,1623841236743.4417,43042183611.10331,434176621430.39484,137108406767.48837,17518736181.913418,17518736181.913418,17518736181.913418,0.0
0.21621621621621623,2340828798.2614155,1641143248362.8582,41890154735.24285,445353720936.5441,140638017137.85107,18383836762.884907,18383836762.884907,18383836762.884907,0.0
0.22822822822822822,2441205910.8579674,1658206611546.1448,40809226752.503944,456376653552.9534,144118943227.24326,19237004922.049892,19237004922.049892,19237004922.049892,0.0
0.24024024024024024,2539158488.92887,1675150650511.3665,39795178572.125496,467322502724.49274,147575527176.15018,20084206870.311626,20084206870.311626,20084206870.311626,0.0
0.25225225225225223,2634767735.561665,1691856041040.4583,38844003416.025276,478114185006.29205,150983426844.08658,20919476396.766857,20919476396.766857,20919476396.766857,0.0
0.26426426426426425,2728111390.277965,1708442107351.485,37951904963.41136,488828783843.2214,154366984371.53772,21748779712.318836,21748779712.318836,21748779712.318836,0.0
0.27627627627627627,2819263907.8986673,1724789525226.382,37115956084.802055,499389215790.4107,157701857618.01834,22566150606.064312,22566150606.064312,22566150606.064312,0.0
0.2882882882882883,2908296626.594377,1741017618883.214,36332040673.00504,509872564292.73004,161012388724.0137,23377555288.906536,23377555288.906536,23377555288.906536,0.0
0.3003003003003003,2995277925.868547,1757126388321.9812,35597512767.490105,520278829350.1794,164298577689.5238,24182993760.84551,24182993760.84551,24182993760.84551,0.0
0.3123123123123123,3080273375.162894,1772996509324.6184,34909760273.24839,530530927517.88873,167536082374.0634,24976499810.977978,24976499810.977978,24976499810.977978,0.0
